token,triplet,source_outgoing_count,source_weight,policy_tvd,policy_js_bits,policy_kl_bits,classical_sequence_js_bits,ideal_sequence_js_bits,noisy_sequence_js_bits
15,"(-10, 1, 2)",1,0.0002069108214359611,0.9639328928350197,0.8839473733897917,4.816624336216537,0.8839473733897917,0.8839473733897917,0.9987478475496878
16,"(-10, 2, 0)",2,0.0004138216428719222,0.9878610365475944,0.9501148721370078,6.469102747720036,0.9501148721370078,0.9501148721370078,0.9988462316222849
17,"(-10, 2, 2)",1,0.0002069108214359611,0.9981748915961179,0.9894751952287266,10.220053724110121,0.9894751952287266,0.9894751952287266,0.9989856966857493
18,"(-9, 1, 0)",3,0.0006207324643078833,0.9893049762543878,0.9566752620676089,7.31025611625175,0.9566752620676089,0.9566752620676089,0.9989119091427437
19,"(-9, 1, 1)",36,0.0074487895716946,0.15938344001651866,0.08147771129918976,0.24357995690628367,0.0,0.0,0.998412392115509
20,"(-8, 1, 0)",36,0.0074487895716946,0.15002663638240768,0.07644403453824318,0.2282243367392603,0.47845624839934653,0.9979817839876628,0.6901803269903322
21,"(-8, 1, 1)",48,0.009931719428926133,0.15938344001651866,0.08147771129918976,0.24357995690628367,0.31074831036935735,0.0,0.9984790632656568
22,"(-7, 1, 1)",27,0.00558659217877095,0.15938344001651866,0.08147771129918976,0.24357995690628367,0.8123143203629164,0.0,0.6088893035158489
23,"(-7, 2, 0)",18,0.0037243947858473,0.16909333058021891,0.08679506321178361,0.25992428549606805,0.0,0.0,0.9988388417547458
24,"(-7, 2, 3)",4,0.0008276432857438444,0.9692960974602518,0.8973205593518082,5.05577074286488,0.8973205593518082,0.8973205593518082,0.4585197056055208
25,"(-6, 1, 0)",21,0.004345127250155183,0.1604914604288959,0.08101197593507684,0.24271977814334322,0.8902246519919619,0.8902246519919619,0.8902246519919619
26,"(-6, 2, 0)",84,0.01738050900062073,0.16697480900268422,0.08563120931461818,0.25634196572208323,0.14506056106087,0.00013407669572104014,0.9138265334593128
